REGION,TECHNOLOGY,VALUE
REGION1,DKWIONPH3,25.0
REGION1,DKWSCHPH2,25.0
REGION1,DKWSSTPH1,30.0
REGION1,EEBFHPFH1,20.0
REGION1,EEBMCCPH1,30.0
REGION1,EEBMCHPH3,25.0
REGION1,EEBMCSPN2,35.0
REGION1,EEBMSTPH3,30.0
REGION1,EECOCHPH3,25.0
REGION1,EECOCSPN2,40.0
REGION1,EECOSTPH1,30.0
REGION1,EECOSTPH3,30.0
REGION1,EEGOCVPH2,40.0
REGION1,EEHFCCPH2,30.0
REGION1,EEHFCHPH3,25.0
REGION1,EEHFGCPH3,25.0
REGION1,EEHFGCPN3,25.0
REGION1,EEHFHPFH1,20.0
REGION1,EEHFHPPH2,20.0
REGION1,EEHFSTPH2,30.0
REGION1,EEHFSTPH3,30.0
REGION1,EEHYDMPH0,80.0
REGION1,EEHYDMPH1,80.0
REGION1,EEHYDMPH2,80.0
REGION1,EEHYDMPH3,80.0
REGION1,EENGCCPH2,30.0
REGION1,EENGCHPH3,25.0
REGION1,EENGCHPN3,25.0
REGION1,EENGCSPN2,30.0
REGION1,EENGFCFH1,5.0
REGION1,EENGGCPH2,25.0
REGION1,EENGGCPN2,25.0
REGION1,EENGHPFH1,20.0
REGION1,EENGHPPH2,20.0
REGION1,EENGSTPH2,30.0
REGION1,EEOCWVPH1,25.0
REGION1,EESODIFH1,25.0
REGION1,EESOUTPH2,25.0
REGION1,EEWIOFPN3,25.0
REGION1,EEWIONPH3,25.0
REGION1,EEWSCHPH2,25.0
REGION1,EEWSSTPH1,30.0
REGION1,FIBFHPFH1,20.0
REGION1,FIBMCCPH1,30.0
REGION1,FIBMCHPH3,25.0
REGION1,FIBMCSPN2,35.0
REGION1,FIBMSTPH3,30.0
REGION1,FICOCHPH3,25.0
REGION1,FICOCSPN2,40.0
REGION1,FICOSTPH1,30.0
REGION1,FICOSTPH3,30.0
REGION1,FIGOCVPH2,40.0
REGION1,FIHFCCPH2,30.0
REGION1,FIHFCHPH3,25.0
REGION1,FIHFGCPH3,25.0
REGION1,FIHFGCPN3,25.0
REGION1,FIHFHPFH1,20.0
REGION1,FIHFHPPH2,20.0
REGION1,FIHFSTPH2,30.0
REGION1,FIHFSTPH3,30.0
REGION1,FIHYDMPH0,80.0
REGION1,FIHYDMPH1,80.0
REGION1,FIHYDMPH2,80.0
REGION1,FIHYDMPH3,80.0
REGION1,FINGCCPH2,30.0
REGION1,FINGCHPH3,25.0
REGION1,FINGCHPN3,25.0
REGION1,FINGCSPN2,30.0
REGION1,FINGFCFH1,5.0
REGION1,FINGGCPH2,25.0
REGION1,FINGGCPN2,25.0
REGION1,FINGHPFH1,20.0
REGION1,FINGHPPH2,20.0
REGION1,FINGSTPH2,30.0
REGION1,FINUG2PH3,50.0
REGION1,FINUG3PN3,60.0
REGION1,FIOCWVPH1,25.0
REGION1,FISODIFH1,25.0
REGION1,FISOUTPH2,25.0
REGION1,FIWIOFPH3,25.0
REGION1,FIWIOFPN2,25.0
REGION1,FIWIOFPN3,25.0
REGION1,FIWIONPH3,25.0
REGION1,FIWIONPN3,25.0
REGION1,FIWSCHPH2,25.0
REGION1,FIWSSTPH1,30.0
REGION1,FRBFHPFH1,20.0
REGION1,FRBMCCPH1,30.0
REGION1,FRBMCHPH3,25.0
REGION1,FRBMCSPN2,35.0
REGION1,FRBMSTPH3,30.0
REGION1,FRCOCHPH3,25.0
REGION1,FRCOCSPN2,40.0
REGION1,FRCOSTPH1,30.0
REGION1,FRCOSTPH3,30.0
REGION1,FRGOCVPH2,40.0
REGION1,FRHFCCPH2,30.0
REGION1,FRHFCHPH3,25.0
REGION1,FRHFGCPH3,25.0
REGION1,FRHFGCPN3,25.0
REGION1,FRHFHPFH1,20.0
REGION1,FRHFHPPH2,20.0
REGION1,FRHFSTPH2,30.0
REGION1,FRHFSTPH3,30.0
REGION1,FRHYDMPH0,80.0
REGION1,FRHYDMPH1,80.0
REGION1,FRHYDMPH2,80.0
REGION1,FRHYDMPH3,80.0
REGION1,FRHYDSPH2,80.0
REGION1,FRHYDSPH3,80.0
REGION1,FRNGCCPH2,30.0
