REGION,TECHNOLOGY,VALUE
REGION1,LTCOCHPH3,31.536
REGION1,LTCOCSPN2,31.536
REGION1,LTCOSTPH1,31.536
REGION1,LTCOSTPH3,31.536
REGION1,LTELLVPH1,31.536
REGION1,LTELPLPH1,31.536
REGION1,LTELSEPH1,31.536
REGION1,LTGOCVPH2,31.536
REGION1,LTHFCCPH2,31.536
REGION1,LTHFCHPH3,31.536
REGION1,LTHFGCPH3,31.536
REGION1,LTHFGCPN3,31.536
REGION1,LTHFHPFH1,31.536
REGION1,LTHFHPPH2,31.536
REGION1,LTHFSTPH2,31.536
REGION1,LTHFSTPH3,31.536
REGION1,LTHYDMPH0,31.536
REGION1,LTHYDMPH1,31.536
REGION1,LTHYDMPH2,31.536
REGION1,LTHYDMPH3,31.536
REGION1,LTHYDSPH2,31.536
REGION1,LTHYDSPH3,31.536
REGION1,LTNGCCPH2,31.536
REGION1,LTNGCHPH3,31.536
REGION1,LTNGCHPN3,31.536
REGION1,LTNGCSPN2,31.536
REGION1,LTNGFCFH1,31.536
REGION1,LTNGGCPH2,31.536
REGION1,LTNGGCPN2,31.536
REGION1,LTNGHPFH1,31.536
REGION1,LTNGHPPH2,31.536
REGION1,LTNGSTPH2,31.536
REGION1,LTOCWVPH1,31.536
REGION1,LTSODIFH1,31.536
REGION1,LTSOUTPH2,31.536
REGION1,LTWIOFPH3,31.536
REGION1,LTWIONPH3,31.536
REGION1,LTWSCHPH2,31.536
REGION1,LTWSSTPH1,31.536
REGION1,LUBFHPFH1,31.536
REGION1,LUBMCCPH1,31.536
REGION1,LUBMCHPH3,31.536
REGION1,LUBMCSPN2,31.536
REGION1,LUBMSTPH3,31.536
REGION1,LUCOCHPH3,31.536
REGION1,LUCOCSPN2,31.536
REGION1,LUCOSTPH1,31.536
REGION1,LUCOSTPH3,31.536
REGION1,LUGOCVPH2,31.536
REGION1,LUHFCCPH2,31.536
REGION1,LUHFCHPH3,31.536
REGION1,LUHFGCPH3,31.536
REGION1,LUHFGCPN3,31.536
REGION1,LUHFHPFH1,31.536
REGION1,LUHFHPPH2,31.536
REGION1,LUHFSTPH2,31.536
REGION1,LUHFSTPH3,31.536
REGION1,LUHYDMPH0,31.536
REGION1,LUHYDMPH1,31.536
REGION1,LUHYDMPH2,31.536
REGION1,LUHYDMPH3,31.536
REGION1,LUHYDSPH2,31.536
REGION1,LUHYDSPH3,31.536
REGION1,LUNGCCPH2,31.536
REGION1,LUNGCHPH3,31.536
REGION1,LUNGCHPN3,31.536
REGION1,LUNGCSPN2,31.536
REGION1,LUNGFCFH1,31.536
REGION1,LUNGGCPH2,31.536
REGION1,LUNGGCPN2,31.536
REGION1,LUNGHPFH1,31.536
REGION1,LUNGHPPH2,31.536
REGION1,LUNGSTPH2,31.536
REGION1,LUSODIFH1,31.536
REGION1,LUSOUTPH2,31.536
REGION1,LUWIONPH3,31.536
REGION1,LUWIONPN3,31.536
REGION1,LUWSCHPH2,31.536
REGION1,LUWSSTPH1,31.536
REGION1,LVBFHPFH1,31.536
REGION1,LVBMCCPH1,31.536
REGION1,LVBMCHPH3,31.536
REGION1,LVBMCSPN2,31.536
REGION1,LVBMSTPH3,31.536
REGION1,LVCOCHPH3,31.536
REGION1,LVCOCSPN2,31.536
REGION1,LVCOSTPH1,31.536
REGION1,LVCOSTPH3,31.536
REGION1,LVGOCVPH2,31.536
REGION1,LVHFCCPH2,31.536
REGION1,LVHFCHPH3,31.536
REGION1,LVHFGCPH3,31.536
REGION1,LVHFGCPN3,31.536
REGION1,LVHFHPFH1,31.536
REGION1,LVHFHPPH2,31.536
REGION1,LVHFSTPH2,31.536
REGION1,LVHFSTPH3,31.536
REGION1,LVHYDMPH0,31.536
REGION1,LVHYDMPH1,31.536
REGION1,LVHYDMPH2,31.536
REGION1,LVHYDMPH3,31.536
REGION1,LVNGCCPH2,31.536
REGION1,LVNGCHPH3,31.536
REGION1,LVNGCHPN3,31.536
REGION1,LVNGCSPN2,31.536
REGION1,LVNGFCFH1,31.536
REGION1,LVNGGCPH2,31.536
REGION1,LVNGGCPN2,31.536
REGION1,LVNGHPFH1,31.536
REGION1,LVNGHPPH2,31.536
REGION1,LVNGSTPH2,31.536
REGION1,LVOCWVPH1,31.536
REGION1,LVSODIFH1,31.536
REGION1,LVSOUTPH2,31.536
REGION1,LVWIONPH3,31.536
REGION1,LVWSCHPH2,31.536
REGION1,LVWSSTPH1,31.536
