VALUE
ATHY
ATPM25
ATSO
ATWI
BEHO
BEPM25
BESO
BEWI
DEHO
DEPM25
DESO
DEWI
DKHO
DKPM25
DKSO
DKWI
EEHO
EEPM25
EESO
EEWI
FIHO
FIPM25
FISO
FIWI
FRHO
FRPM25
FRSO
FRWI
LTHO
LTPM25
LTSO
LTWI
LUHO
LUPM25
LUSO
LUWI
LVHO
LVPM25
LVWI
NLHO
NLPM25
NLSO
NLWI
NOHO
NOPM25
NOSO
NOWI
PLHO
PLPM25
PLSO
PLWI
SEHO
SEPM25
SESO
SEWI
UKC2
UKHO
UKPM25
UKSO
UKWI
DEWO
DKWO
EEWO
FIWO
FRWO
LTWO
LVWO
NLWO
PLWO
SEWO
UKWO
BMIM
LVSO
