VALUE
ATBF
ATBM
ATCO
ATE1
ATE2
ATGO
ATHF
ATNG
ATOI
ATWS
BEBF
BEBM
BECO
BEE1
BEE2
BEGO
BEHF
BENG
BEUR
BEWS
DEBF
DEBM
DECO
DEE1
DEE2
DEGO
DEHF
DENG
DEOI
DEUR
DEWS
DKBF
DKBM
DKCO
DKE1
DKE2
DKGO
DKHF
DKNG
DKOI
DKUR
DKWS
EEBF
EEBM
EECO
EEE1
EEE2
EEGO
EEHF
EENG
EEOI
EEOS
EEWS
FIBF
FIBM
FICO
FIE1
FIE2
FIGO
FIHF
FING
FIOI
FIUR
FIWS
FRBF
FRBM
FRCO
FRE1
FRE2
FRGO
FRHF
FRNG
FROI
FRUR
FRWS
LTBF
LTBM
LTCO
LTE1
LTE2
LTGO
LTHF
LTNG
LTOI
LTWS
LUBF
LUBM
LUCO
LUE1
LUE2
LUGO
LUHF
LUNG
LUWS
LVBF
LVBM
LVCO
LVE1
LVE2
LVGO
LVHF
LVNG
LVWS
NLBF
NLBM
NLCO
NLE1
NLE2
NLGO
NLHF
NLNG
NLOI
NLUR
NLWS
NOBF
NOBM
NOCO
NOE1
NOE2
NOHF
NONG
NOOI
NOUR
NOWS
PLBF
PLBM
PLCO
PLE1
PLE2
PLGO
PLHF
PLNG
PLOI
PLUR
PLWS
SEBF
SEBM
SECO
SEE1
SEE2
SEGO
SEHF
SENG
SEOI
SEUR
SEWS
UKBF
UKBM
UKCO
UKE1
UKE2
UKGO
UKHF
UKNG
UKOI
UKUR
UKWS
