REGION,FUEL,YEAR,VALUE
REGION1,FRE1,2055,1.0
REGION1,FRE1,2056,1.0
REGION1,FRE1,2057,1.0
REGION1,FRE1,2058,1.0
REGION1,FRE1,2059,1.0
REGION1,FRE1,2060,1.0
REGION1,LTE1,2015,1.0
REGION1,LTE1,2016,1.0
REGION1,LTE1,2017,1.0
REGION1,LTE1,2018,1.0
REGION1,LTE1,2019,1.0
REGION1,LTE1,2020,1.0
REGION1,LTE1,2021,1.0
REGION1,LTE1,2022,1.0
REGION1,LTE1,2023,1.0
REGION1,LTE1,2024,1.0
REGION1,LTE1,2025,1.0
REGION1,LTE1,2026,1.0
REGION1,LTE1,2027,1.0
REGION1,LTE1,2028,1.0
REGION1,LTE1,2029,1.0
REGION1,LTE1,2030,1.0
REGION1,LTE1,2031,1.0
REGION1,LTE1,2032,1.0
REGION1,LTE1,2033,1.0
REGION1,LTE1,2034,1.0
REGION1,LTE1,2035,1.0
REGION1,LTE1,2036,1.0
REGION1,LTE1,2037,1.0
REGION1,LTE1,2038,1.0
REGION1,LTE1,2039,1.0
REGION1,LTE1,2040,1.0
REGION1,LTE1,2041,1.0
REGION1,LTE1,2042,1.0
REGION1,LTE1,2043,1.0
REGION1,LTE1,2044,1.0
REGION1,LTE1,2045,1.0
REGION1,LTE1,2046,1.0
REGION1,LTE1,2047,1.0
REGION1,LTE1,2048,1.0
REGION1,LTE1,2049,1.0
REGION1,LTE1,2050,1.0
REGION1,LTE1,2051,1.0
REGION1,LTE1,2052,1.0
REGION1,LTE1,2053,1.0
REGION1,LTE1,2054,1.0
REGION1,LTE1,2055,1.0
REGION1,LTE1,2056,1.0
REGION1,LTE1,2057,1.0
REGION1,LTE1,2058,1.0
REGION1,LTE1,2059,1.0
REGION1,LTE1,2060,1.0
REGION1,LUE1,2015,1.0
REGION1,LUE1,2016,1.0
REGION1,LUE1,2017,1.0
REGION1,LUE1,2018,1.0
REGION1,LUE1,2019,1.0
REGION1,LUE1,2020,1.0
REGION1,LUE1,2021,1.0
REGION1,LUE1,2022,1.0
REGION1,LUE1,2023,1.0
REGION1,LUE1,2024,1.0
REGION1,LUE1,2025,1.0
REGION1,LUE1,2026,1.0
REGION1,LUE1,2027,1.0
REGION1,LUE1,2028,1.0
REGION1,LUE1,2029,1.0
REGION1,LUE1,2030,1.0
REGION1,LUE1,2031,1.0
REGION1,LUE1,2032,1.0
REGION1,LUE1,2033,1.0
REGION1,LUE1,2034,1.0
REGION1,LUE1,2035,1.0
REGION1,LUE1,2036,1.0
REGION1,LUE1,2037,1.0
REGION1,LUE1,2038,1.0
REGION1,LUE1,2039,1.0
REGION1,LUE1,2040,1.0
REGION1,LUE1,2041,1.0
REGION1,LUE1,2042,1.0
REGION1,LUE1,2043,1.0
REGION1,LUE1,2044,1.0
REGION1,LUE1,2045,1.0
REGION1,LUE1,2046,1.0
REGION1,LUE1,2047,1.0
REGION1,LUE1,2048,1.0
REGION1,LUE1,2049,1.0
REGION1,LUE1,2050,1.0
REGION1,LUE1,2051,1.0
REGION1,LUE1,2052,1.0
REGION1,LUE1,2053,1.0
REGION1,LUE1,2054,1.0
REGION1,LUE1,2055,1.0
REGION1,LUE1,2056,1.0
REGION1,LUE1,2057,1.0
REGION1,LUE1,2058,1.0
REGION1,LUE1,2059,1.0
REGION1,LUE1,2060,1.0
REGION1,LVE1,2015,1.0
REGION1,LVE1,2016,1.0
REGION1,LVE1,2017,1.0
REGION1,LVE1,2018,1.0
REGION1,LVE1,2019,1.0
REGION1,LVE1,2020,1.0
REGION1,LVE1,2021,1.0
REGION1,LVE1,2022,1.0
REGION1,LVE1,2023,1.0
REGION1,LVE1,2024,1.0
REGION1,LVE1,2025,1.0
REGION1,LVE1,2026,1.0
REGION1,LVE1,2027,1.0
REGION1,LVE1,2028,1.0
REGION1,LVE1,2029,1.0
REGION1,LVE1,2030,1.0
REGION1,LVE1,2031,1.0
REGION1,LVE1,2032,1.0
REGION1,LVE1,2033,1.0
REGION1,LVE1,2034,1.0
REGION1,LVE1,2035,1.0
REGION1,LVE1,2036,1.0
REGION1,LVE1,2037,1.0
REGION1,LVE1,2038,1.0
REGION1,LVE1,2039,1.0
REGION1,LVE1,2040,1.0
REGION1,LVE1,2041,1.0
REGION1,LVE1,2042,1.0
REGION1,LVE1,2043,1.0
REGION1,LVE1,2044,1.0
REGION1,LVE1,2045,1.0
REGION1,LVE1,2046,1.0
REGION1,LVE1,2047,1.0
REGION1,LVE1,2048,1.0
REGION1,LVE1,2049,1.0
REGION1,LVE1,2050,1.0
REGION1,LVE1,2051,1.0
REGION1,LVE1,2052,1.0
REGION1,LVE1,2053,1.0
REGION1,LVE1,2054,1.0
REGION1,LVE1,2055,1.0
REGION1,LVE1,2056,1.0
REGION1,LVE1,2057,1.0
REGION1,LVE1,2058,1.0
REGION1,LVE1,2059,1.0
REGION1,LVE1,2060,1.0
REGION1,NLE1,2015,1.0
REGION1,NLE1,2016,1.0
REGION1,NLE1,2017,1.0
REGION1,NLE1,2018,1.0
REGION1,NLE1,2019,1.0
REGION1,NLE1,2020,1.0
REGION1,NLE1,2021,1.0
REGION1,NLE1,2022,1.0
REGION1,NLE1,2023,1.0
REGION1,NLE1,2024,1.0
REGION1,NLE1,2025,1.0
REGION1,NLE1,2026,1.0
REGION1,NLE1,2027,1.0
REGION1,NLE1,2028,1.0
REGION1,NLE1,2029,1.0
REGION1,NLE1,2030,1.0
REGION1,NLE1,2031,1.0
REGION1,NLE1,2032,1.0
REGION1,NLE1,2033,1.0
REGION1,NLE1,2034,1.0
REGION1,NLE1,2035,1.0
REGION1,NLE1,2036,1.0
REGION1,NLE1,2037,1.0
REGION1,NLE1,2038,1.0
REGION1,NLE1,2039,1.0
REGION1,NLE1,2040,1.0
REGION1,NLE1,2041,1.0
REGION1,NLE1,2042,1.0
REGION1,NLE1,2043,1.0
REGION1,NLE1,2044,1.0
REGION1,NLE1,2045,1.0
REGION1,NLE1,2046,1.0
REGION1,NLE1,2047,1.0
REGION1,NLE1,2048,1.0
REGION1,NLE1,2049,1.0
REGION1,NLE1,2050,1.0
REGION1,NLE1,2051,1.0
REGION1,NLE1,2052,1.0
REGION1,NLE1,2053,1.0
REGION1,NLE1,2054,1.0
REGION1,NLE1,2055,1.0
REGION1,NLE1,2056,1.0
REGION1,NLE1,2057,1.0
REGION1,NLE1,2058,1.0
REGION1,NLE1,2059,1.0
REGION1,NLE1,2060,1.0
REGION1,NOE1,2015,1.0
REGION1,NOE1,2016,1.0
REGION1,NOE1,2017,1.0
REGION1,NOE1,2018,1.0
REGION1,NOE1,2019,1.0
REGION1,NOE1,2020,1.0
REGION1,NOE1,2021,1.0
REGION1,NOE1,2022,1.0
REGION1,NOE1,2023,1.0
REGION1,NOE1,2024,1.0
REGION1,NOE1,2025,1.0
REGION1,NOE1,2026,1.0
REGION1,NOE1,2027,1.0
REGION1,NOE1,2028,1.0
REGION1,NOE1,2029,1.0
REGION1,NOE1,2030,1.0
REGION1,NOE1,2031,1.0
REGION1,NOE1,2032,1.0
REGION1,NOE1,2033,1.0
REGION1,NOE1,2034,1.0
REGION1,NOE1,2035,1.0
REGION1,NOE1,2036,1.0
REGION1,NOE1,2037,1.0
REGION1,NOE1,2038,1.0
REGION1,NOE1,2039,1.0
REGION1,NOE1,2040,1.0
REGION1,NOE1,2041,1.0
REGION1,NOE1,2042,1.0
REGION1,NOE1,2043,1.0
REGION1,NOE1,2044,1.0
REGION1,NOE1,2045,1.0
REGION1,NOE1,2046,1.0
REGION1,NOE1,2047,1.0
REGION1,NOE1,2048,1.0
REGION1,NOE1,2049,1.0
REGION1,NOE1,2050,1.0
REGION1,NOE1,2051,1.0
REGION1,NOE1,2052,1.0
REGION1,NOE1,2053,1.0
REGION1,NOE1,2054,1.0
REGION1,NOE1,2055,1.0
REGION1,NOE1,2056,1.0
REGION1,NOE1,2057,1.0
REGION1,NOE1,2058,1.0
REGION1,NOE1,2059,1.0
REGION1,NOE1,2060,1.0
REGION1,PLE1,2015,1.0
REGION1,PLE1,2016,1.0
REGION1,PLE1,2017,1.0
REGION1,PLE1,2018,1.0
REGION1,PLE1,2019,1.0
REGION1,PLE1,2020,1.0
REGION1,PLE1,2021,1.0
REGION1,PLE1,2022,1.0
REGION1,PLE1,2023,1.0
REGION1,PLE1,2024,1.0
REGION1,PLE1,2025,1.0
REGION1,PLE1,2026,1.0
REGION1,PLE1,2027,1.0
REGION1,PLE1,2028,1.0
REGION1,PLE1,2029,1.0
REGION1,PLE1,2030,1.0
REGION1,PLE1,2031,1.0
REGION1,PLE1,2032,1.0
REGION1,PLE1,2033,1.0
REGION1,PLE1,2034,1.0
REGION1,PLE1,2035,1.0
REGION1,PLE1,2036,1.0
REGION1,PLE1,2037,1.0
REGION1,PLE1,2038,1.0
REGION1,PLE1,2039,1.0
REGION1,PLE1,2040,1.0
REGION1,PLE1,2041,1.0
REGION1,PLE1,2042,1.0
REGION1,PLE1,2043,1.0
REGION1,PLE1,2044,1.0
REGION1,PLE1,2045,1.0
REGION1,PLE1,2046,1.0
REGION1,PLE1,2047,1.0
REGION1,PLE1,2048,1.0
REGION1,PLE1,2049,1.0
REGION1,PLE1,2050,1.0
REGION1,PLE1,2051,1.0
REGION1,PLE1,2052,1.0
REGION1,PLE1,2053,1.0
REGION1,PLE1,2054,1.0
REGION1,PLE1,2055,1.0
REGION1,PLE1,2056,1.0
REGION1,PLE1,2057,1.0
REGION1,PLE1,2058,1.0
REGION1,PLE1,2059,1.0
REGION1,PLE1,2060,1.0
REGION1,SEE1,2015,1.0
REGION1,SEE1,2016,1.0
REGION1,SEE1,2017,1.0
REGION1,SEE1,2018,1.0
REGION1,SEE1,2019,1.0
REGION1,SEE1,2020,1.0
REGION1,SEE1,2021,1.0
REGION1,SEE1,2022,1.0
REGION1,SEE1,2023,1.0
REGION1,SEE1,2024,1.0
REGION1,SEE1,2025,1.0
REGION1,SEE1,2026,1.0
REGION1,SEE1,2027,1.0
REGION1,SEE1,2028,1.0
REGION1,SEE1,2029,1.0
REGION1,SEE1,2030,1.0
REGION1,SEE1,2031,1.0
REGION1,SEE1,2032,1.0
REGION1,SEE1,2033,1.0
REGION1,SEE1,2034,1.0
REGION1,SEE1,2035,1.0
REGION1,SEE1,2036,1.0
REGION1,SEE1,2037,1.0
REGION1,SEE1,2038,1.0
REGION1,SEE1,2039,1.0
REGION1,SEE1,2040,1.0
REGION1,SEE1,2041,1.0
REGION1,SEE1,2042,1.0
REGION1,SEE1,2043,1.0
REGION1,SEE1,2044,1.0
REGION1,SEE1,2045,1.0
REGION1,SEE1,2046,1.0
REGION1,SEE1,2047,1.0
REGION1,SEE1,2048,1.0
REGION1,SEE1,2049,1.0
REGION1,SEE1,2050,1.0
REGION1,SEE1,2051,1.0
REGION1,SEE1,2052,1.0
REGION1,SEE1,2053,1.0
REGION1,SEE1,2054,1.0
REGION1,SEE1,2055,1.0
REGION1,SEE1,2056,1.0
REGION1,SEE1,2057,1.0
REGION1,SEE1,2058,1.0
REGION1,SEE1,2059,1.0
REGION1,SEE1,2060,1.0
REGION1,UKE1,2015,1.0
REGION1,UKE1,2016,1.0
REGION1,UKE1,2017,1.0
REGION1,UKE1,2018,1.0
REGION1,UKE1,2019,1.0
REGION1,UKE1,2020,1.0
REGION1,UKE1,2021,1.0
REGION1,UKE1,2022,1.0
REGION1,UKE1,2023,1.0
REGION1,UKE1,2024,1.0
REGION1,UKE1,2025,1.0
REGION1,UKE1,2026,1.0
REGION1,UKE1,2027,1.0
